backend,group,source_group,points,relative_energy_mae_eV,relative_energy_max_error_eV,reference_span_eV,predicted_span_eV,reference_short_range_rise_eV,predicted_short_range_rise_eV,slope_comparisons,slope_sign_mismatches
mace,CF3_10eV_19_10_O_F,CF3_10eV_19_10,4,108.4812172135515,377.08824327844616,560.6439904,183.55574712155385,560.6439904,183.55574712155385,3,0
mace,CF3_10eV_19_59_C_C,CF3_10eV_19_59,7,127.94562099695706,515.6309591782835,1143.63104381,628.0000846317164,1143.63104381,628.0000846317164,6,0
mace,CF3_10eV_19_59_C_F,CF3_10eV_19_59,6,137.48334068757183,548.5765344417173,820.8509963700001,272.27446192828273,820.8509963700001,272.27446192828273,5,0
mace,CF3_10eV_19_59_F_C,CF3_10eV_19_59,4,37.741266659058255,131.50391865164295,344.41578289999995,212.911864248357,344.41578289999995,212.911864248357,3,0
mace,CF3_10eV_19_59_Si_C,CF3_10eV_19_59,5,25.790709866736826,96.3093765319395,206.29446389999998,109.98508736806048,206.29446389999998,109.98508736806048,4,0
mace,CF3_10eV_19_68_O_C,CF3_10eV_19_68,7,213.4805285396516,899.2385381684151,1802.38209422,903.1435560515849,1802.38209422,903.1435560515849,6,0
mace,CF3_10eV_19_68_Si_F,CF3_10eV_19_68,6,141.95753165643734,439.3871771739948,1767.89914711,1328.5119699360052,1767.89914711,1328.5119699360052,5,0
mace,CF3_10eV_19_84_F_F,CF3_10eV_19_84,5,135.09376320096627,545.722426801371,756.04379722,210.32137041862904,756.04379722,210.32137041862904,4,0
mace,CF3_20eV_4_36_C_C,CF3_20eV_4_36,5,169.8229614500998,504.3970249603901,1112.19801721,607.8009922496099,1112.19801721,607.8009922496099,4,0
mace,CF3_20eV_4_50_C_F,CF3_20eV_4_50,5,47.53154898792762,209.67659366316565,369.61571031,159.93911664683435,369.61571031,159.93911664683435,4,0
mace,CF3_20eV_4_78_F_C,CF3_20eV_4_78,5,139.79223945324728,510.83492586836667,810.7905624,299.95563653163333,810.7905624,299.95563653163333,4,0
mace,CF3_20eV_4_78_O_C,CF3_20eV_4_78,6,255.81736533646077,922.4414676608866,1809.96117288,887.5197052191135,1809.96117288,887.5197052191135,5,0
mace,CF3_20eV_4_98_F_F,CF3_20eV_4_98,6,322.96319987522594,1250.6995611485568,1714.4034424799997,463.703881331443,1714.4034424799997,463.703881331443,5,0
mace,CF3_20eV_4_98_O_F,CF3_20eV_4_98,4,370.7893866666906,990.8900451348553,1244.6036545,278.55491024122387,1244.6036545,253.71360936514466,3,1
mace,CF3_20eV_4_98_Si_C,CF3_20eV_4_98,6,97.1262041593713,243.34888772829083,956.44104602,713.0921582917092,956.44104602,713.0921582917092,5,0
mace,CF3_20eV_4_98_Si_F,CF3_20eV_4_98,6,150.17343531299426,453.36985387963114,1765.6099152299998,1312.2400613503687,1765.6099152299998,1312.2400613503687,5,0
mace,CF3_30eV_9_36_C_C,CF3_30eV_9_36,7,120.81014738530264,504.16875231893096,1146.39140645,642.222654131069,1146.39140645,642.222654131069,6,0
mace,CF3_30eV_9_36_C_F,CF3_30eV_9_36,6,125.18375567065283,528.4011560550223,824.8005270799999,296.39937102497765,824.8005270799999,296.39937102497765,5,0
mace,CF3_30eV_9_36_F_C,CF3_30eV_9_36,5,131.44025406704606,486.6288906950219,808.2164690100001,321.5875783149782,808.2164690100001,321.5875783149782,4,0
mace,CF3_30eV_9_36_F_F,CF3_30eV_9_36,6,312.93470141441253,1208.1831465183973,1713.35979938,505.17665286160263,1713.35979938,505.17665286160263,5,0
mace,CF3_30eV_9_36_O_C,CF3_30eV_9_36,6,249.73203897255587,907.2165725860126,1807.22427583,900.0077032439873,1807.22427583,900.0077032439873,5,0
mace,CF3_30eV_9_36_Si_F,CF3_30eV_9_36,7,129.58036107264047,453.3717917576512,1852.06992219,1398.6981304323488,1852.06992219,1398.6981304323488,6,2
mace,CF3_30eV_9_9_O_F,CF3_30eV_9_9,6,230.89116876080686,933.5654581438765,1311.84500342,378.2795452761235,1311.84500342,378.2795452761235,5,0
mace,CF3_30eV_9_9_Si_C,CF3_30eV_9_9,7,250.02712807671182,659.9173650914771,1521.4243074,861.506942308523,1521.4243074,861.506942308523,6,0
mace,CF_10eV_4_37_C_F,CF_10eV_4_37,6,123.21508565657568,518.2376607749035,823.5263087999999,305.28864802509645,823.5263087999999,305.28864802509645,5,0
mace,CF_10eV_4_37_Si_F,CF_10eV_4_37,4,29.72430613475025,110.56783488702621,268.76547514,158.19764025297377,268.76547514,158.19764025297377,3,0
mace,CF_10eV_4_39_F_C,CF_10eV_4_39,4,49.516180704412506,183.03950369832444,346.93439723000006,163.89489353167562,346.93439723000006,163.89489353167562,3,0
mace,CF_10eV_4_54_C_C,CF_10eV_4_54,3,31.370033094516014,88.54919605787143,174.52179107000006,85.97259501212864,174.52179107000006,85.97259501212864,2,0
mace,CF_10eV_4_54_Si_C,CF_10eV_4_54,4,26.801766556542418,84.66680367568313,178.44628290000003,93.7794792243169,178.44628290000003,93.7794792243169,3,0
mace,CF_10eV_4_5_O_F,CF_10eV_4_5,4,100.0793467813113,354.6978977487921,560.78896158,206.09106383120786,560.78896158,206.09106383120786,3,0
mace,CF_10eV_4_93_O_C,CF_10eV_4_93,4,250.1863856684264,632.869031208604,1192.08885652,559.219825311396,1192.08885652,559.219825311396,3,0
mace,CF_10eV_4_98_F_F,CF_10eV_4_98,5,134.04902564748193,543.751055858277,756.26446122,212.51340536172302,756.26446122,212.51340536172302,4,0
mace,CF_20eV_2_32_O_F,CF_20eV_2_32,5,86.2505805955384,371.51545989827605,562.89942233,191.38396243172394,562.89942233,191.38396243172394,4,0
mace,CF_20eV_2_52_F_F,CF_20eV_2_52,5,129.42640172312775,513.9230488406679,750.9728645,237.04981565933213,750.9728645,237.04981565933213,4,0
mace,CF_20eV_2_52_Si_F,CF_20eV_2_52,5,36.06635835227786,94.15928688638411,301.77732406,207.6180371736159,301.77732406,207.6180371736159,4,2
mace,CF_20eV_2_54_F_C,CF_20eV_2_54,4,35.479505644071565,132.2855507516116,341.06475031,208.77919955838843,341.06475031,208.77919955838843,3,0
mace,CF_20eV_2_54_O_C,CF_20eV_2_54,5,34.90398456864589,124.37504924724215,288.72307867999996,164.3480294327578,288.72307867999996,164.3480294327578,4,0
mace,CF_20eV_2_76_C_F,CF_20eV_2_76,5,164.31030991408903,573.4139273033228,826.99623653,253.58230922667724,826.99623653,253.58230922667724,4,0
mace,CF_20eV_2_79_C_C,CF_20eV_2_79,5,167.0104389865566,505.0695034294499,1111.72390182,606.6543983905501,1111.72390182,606.6543983905501,4,0
mace,CF_20eV_2_79_Si_C,CF_20eV_2_79,4,29.506397923375374,90.61581839261657,170.28226638,79.66644798738344,170.28226638,79.66644798738344,3,0
mace,CF_30eV_18_12_F_F,CF_30eV_18_12,6,325.7362773699038,1251.3647893484736,1718.30338544,466.9385960915265,1718.30338544,466.9385960915265,5,0
mace,CF_30eV_18_13_Si_C,CF_30eV_18_13,3,22.17798470475526,58.06121899219505,149.23369271999996,91.17247372780491,149.23369271999996,91.17247372780491,2,0
mace,CF_30eV_18_13_Si_F,CF_30eV_18_13,4,23.93465452943431,91.83129145859095,257.32341981,165.49212835140906,257.32341981,165.49212835140906,3,0
mace,CF_30eV_18_3_C_C,CF_30eV_18_3,5,151.67937626611015,484.5641729360033,1103.9963059,619.4321329639967,1103.9963059,619.4321329639967,4,0
mace,CF_30eV_18_3_C_F,CF_30eV_18_3,5,147.93202662213207,535.7997873246459,809.56516776,273.7653804353542,809.56516776,273.7653804353542,4,0
mace,CF_30eV_18_3_F_C,CF_30eV_18_3,5,126.89671327872229,475.6792315387277,808.52853438,332.8493028412723,808.52853438,332.8493028412723,4,0
mace,CF_30eV_18_3_O_C,CF_30eV_18_3,6,248.03982411211345,906.4247485703695,1809.2308348899999,902.8060863196304,1809.2308348899999,902.8060863196304,5,0
mace,CF_30eV_18_3_O_F,CF_30eV_18_3,6,217.15310131895305,901.9445489998807,1311.85339685,409.90884785011934,1311.85339685,409.90884785011934,5,0
nequip,CF3_10eV_19_10_O_F,CF3_10eV_19_10,4,19.327493949642076,71.6182897822489,560.6439904,489.0257006177511,560.6439904,489.0257006177511,3,0
nequip,CF3_10eV_19_59_C_C,CF3_10eV_19_59,7,71.04411039511578,422.29542877072845,1143.63104381,1565.9264725807284,1143.63104381,1565.9264725807284,6,0
nequip,CF3_10eV_19_59_C_F,CF3_10eV_19_59,6,12.438271093770842,33.26788316619525,820.8509963700001,787.5831132038048,820.8509963700001,787.5831132038048,5,0
nequip,CF3_10eV_19_59_F_C,CF3_10eV_19_59,4,12.32002253178699,34.97670130763066,344.41578289999995,309.4390815923693,344.41578289999995,309.4390815923693,3,0
nequip,CF3_10eV_19_59_Si_C,CF3_10eV_19_59,5,6.261524347774684,26.19702135596799,206.29446389999998,232.49148525596797,206.29446389999998,232.49148525596797,4,0
nequip,CF3_10eV_19_68_O_C,CF3_10eV_19_68,7,62.10141733280003,410.38534494232863,1802.38209422,2212.7674391623286,1802.38209422,2212.7674391623286,6,0
nequip,CF3_10eV_19_68_Si_F,CF3_10eV_19_68,6,327.1310336277084,1769.038275602046,1767.89914711,3536.937422712046,1767.89914711,3536.937422712046,5,0
nequip,CF3_10eV_19_84_F_F,CF3_10eV_19_84,5,28.66609303763885,123.26987289202327,756.04379722,632.7739243279767,756.04379722,632.7739243279767,4,0
nequip,CF3_20eV_4_36_C_C,CF3_20eV_4_36,5,90.20401719999393,405.02599550254604,1112.19801721,1517.224012712546,1112.19801721,1517.224012712546,4,0
nequip,CF3_20eV_4_50_C_F,CF3_20eV_4_50,5,8.073363754802187,33.84593193013342,369.61571031,335.7697783798666,369.61571031,335.7697783798666,4,0
nequip,CF3_20eV_4_78_F_C,CF3_20eV_4_78,5,16.637941013986428,37.272875599722965,810.7905624,773.517686800277,810.7905624,773.517686800277,4,0
nequip,CF3_20eV_4_78_O_C,CF3_20eV_4_78,6,73.15202234940055,407.5765770030621,1809.96117288,2217.537749883062,1809.96117288,2217.537749883062,5,0
nequip,CF3_20eV_4_98_F_F,CF3_20eV_4_98,6,62.66170646209965,234.52308646703227,1714.4034424799997,1479.8803560129675,1714.4034424799997,1479.8803560129675,5,0
nequip,CF3_20eV_4_98_O_F,CF3_20eV_4_98,4,48.80668598683876,131.5152075966787,1244.6036545,1113.0884469033213,1244.6036545,1113.0884469033213,3,0
nequip,CF3_20eV_4_98_Si_C,CF3_20eV_4_98,6,182.68983571786694,974.6747156925541,956.44104602,1931.115761712554,956.44104602,1931.115761712554,5,0
nequip,CF3_20eV_4_98_Si_F,CF3_20eV_4_98,6,329.47783945122836,1774.9513721854387,1765.6099152299998,3540.5612874154385,1765.6099152299998,3540.5612874154385,5,0
nequip,CF3_30eV_9_36_C_C,CF3_30eV_9_36,7,67.62297210288096,414.4668895363834,1146.39140645,1560.8582959863834,1146.39140645,1560.8582959863834,6,0
nequip,CF3_30eV_9_36_C_F,CF3_30eV_9_36,6,13.20463217977933,37.21597506041496,824.8005270799999,787.584552019585,824.8005270799999,787.584552019585,5,0
nequip,CF3_30eV_9_36_F_C,CF3_30eV_9_36,5,16.562618283489304,35.450096913916695,808.2164690100001,772.7663720960834,808.2164690100001,772.7663720960834,4,0
nequip,CF3_30eV_9_36_F_F,CF3_30eV_9_36,6,62.26183465448506,229.73617614487466,1713.35979938,1483.6236232351253,1713.35979938,1483.6236232351253,5,0
nequip,CF3_30eV_9_36_O_C,CF3_30eV_9_36,6,74.35950180803927,412.2755023355694,1807.22427583,2219.4997781655693,1807.22427583,2219.4997781655693,5,0
nequip,CF3_30eV_9_36_Si_F,CF3_30eV_9_36,7,282.09333470344916,1762.191839374555,1852.06992219,3614.261761564555,1852.06992219,3614.261761564555,6,0
nequip,CF3_30eV_9_9_O_F,CF3_30eV_9_9,6,41.67270510361383,154.10970922342676,1311.84500342,1157.7352941965732,1311.84500342,1157.7352941965732,5,0
nequip,CF3_30eV_9_9_Si_C,CF3_30eV_9_9,7,134.4223488531414,883.3346969873692,1521.4243074,2404.7590043873693,1521.4243074,2404.7590043873693,6,0
nequip,CF_10eV_4_37_C_F,CF_10eV_4_37,6,13.391902788288528,38.45059126923252,823.5263087999999,785.0757175307674,823.5263087999999,785.0757175307674,5,0
nequip,CF_10eV_4_37_Si_F,CF_10eV_4_37,4,2.0846513970503366,6.803370607219392,268.76547514,275.56884574721937,268.76547514,275.56884574721937,3,0
nequip,CF_10eV_4_39_F_C,CF_10eV_4_39,4,12.44487475519881,37.14530124372618,346.93439723000006,309.7890959862739,346.93439723000006,309.7890959862739,3,0
nequip,CF_10eV_4_54_C_C,CF_10eV_4_54,3,1.1488853399094598,2.265445796826498,174.52179107000006,172.25634527317357,174.52179107000006,172.25634527317357,2,0
nequip,CF_10eV_4_54_Si_C,CF_10eV_4_54,4,5.9120887587517075,21.922261948694654,178.44628290000003,200.36854484869468,178.44628290000003,200.36854484869468,3,0
nequip,CF_10eV_4_5_O_F,CF_10eV_4_5,4,20.54914446164318,76.79173713901287,560.78896158,483.9972244409871,560.78896158,483.9972244409871,3,0
