backend,member,group,frames,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
mace,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:anneal,8,1152,0.3581764014750788,0.47272771393452234,0.9698667803183464,1.3728928039052934,2.297170839075122,1.4603780617029825,2.3562602908976507
mace,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:melt,8,1152,0.6645370069528512,0.8732964858292559,1.7579919030559252,2.569747092855186,4.77883502303601,2.657233729576201,4.926538335150043
mace,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:quench,8,1152,0.519469675804847,0.6949550698847836,1.4441667460091834,2.0153477675275075,3.370569977309912,2.2457953870833216,4.0799478324403475
mace,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:anneal,8,1152,0.42210590235354223,0.5425153634964223,1.0796814849327423,1.5255899850279995,2.165769971066722,1.6611878048714162,2.458222272871012
mace,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:melt,8,1152,0.8290607284112028,1.0781892835654583,2.1771840231525172,3.0674507102251245,5.678503557338856,3.3104499586367098,6.043417644382058
mace,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:quench,8,1152,0.5810142987531725,0.7713918682650676,1.5741932482957903,2.4445511544916316,3.6339065701156974,2.5359380811525294,4.01503816137088
mace,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:anneal,8,1152,0.33511650418255945,0.4560689411759918,0.9783339403618199,1.4003287113205451,2.121498807411024,1.4787074681275825,2.6795004372646773
mace,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:melt,8,1152,0.6499747061114017,0.868824832915068,1.7741798871478396,2.629010289631201,4.768802981214858,2.7348305636952697,5.230511329635649
mace,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:quench,8,1152,0.5434085512880195,0.7582539973410838,1.5661472600252289,2.3962782782747993,5.113329003980822,2.438517575280262,5.917287223896921
mace,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:anneal,8,1152,0.4234898240403839,0.5693015399869429,1.1773674842606858,1.698756461704629,2.6194115043926707,1.804125340032458,2.964192270158471
