backend,id,track,selection,group,atom_index,element,vector_error_eV_A,component_max_eV_A,nearest_distance_A,cf_sio_contact_A,ref_force_norm_eV_A
mace,dft/qsd/qsd_data.extxyz:637,qsd,coverage,CF_10eV_4_37_C_F,6,C,3558.478974287948,3111.2531985534333,0.2659976120193556,1.371796809662423,5439.388602071535
mace,dft/qsd/qsd_data.extxyz:507,qsd,coverage,CF3_20eV_4_98_Si_F,11,F,3549.7879235779587,3082.2977207951553,0.16799803600042348,0.16799803600042348,14156.928977167785
mace,dft/qsd/qsd_data.extxyz:507,qsd,coverage,CF3_20eV_4_98_Si_F,77,Si,3546.612216929725,3088.996724376657,0.16799803600042348,0.16799803600042348,14206.254884449567
mace,dft/qsd/qsd_data.extxyz:305,qsd,coverage,CF3_10eV_19_68_Si_F,94,Si,3546.352970084774,3078.8657549196178,0.16799803600042348,0.16799803600042348,14202.376193848659
mace,dft/qsd/qsd_data.extxyz:1308,qsd,coverage,CF_30eV_18_3_C_F,1,C,3543.8401192399547,3061.954828637696,0.2659976120193552,1.1431451005449835,5446.691362156314
mace,dft/qsd/qsd_data.extxyz:1308,qsd,coverage,CF_30eV_18_3_C_F,6,F,3543.395337555465,3051.127232961292,0.2659976120193552,1.1431451005449835,5454.535154531627
mace,dft/qsd/qsd_data.extxyz:305,qsd,coverage,CF3_10eV_19_68_Si_F,8,F,3540.550409991902,3060.8310256589557,0.16799803600042348,0.16799803600042348,14158.024675184808
mace,dft/qsd/qsd_data.extxyz:557,qsd,coverage,CF3_30eV_9_36_Si_F,86,Si,3536.4781927787944,3107.116464996394,0.16799803600042348,0.16799803600042348,14221.76107774001
mace,dft/qsd/qsd_data.extxyz:525,qsd,coverage,CF3_30eV_9_36_F_C,1,C,3523.531103756393,3087.3624087086177,0.26599761201935673,1.2595609813740645,5432.504615088556
mace,dft/qsd/qsd_data.extxyz:443,qsd,coverage,CF3_20eV_4_78_F_C,0,C,3517.2186404349845,3131.910539916092,0.2659976120193576,1.5805841200328443,5437.577976664926
mace,dft/qsd/qsd_data.extxyz:1313,qsd,coverage,CF_30eV_18_3_F_C,2,C,3513.2044637398094,3032.7430607118927,0.26599761201935673,1.1431451005449835,5434.491682327661
mace,dft/qsd/qsd_data.extxyz:520,qsd,coverage,CF3_30eV_9_36_C_F,0,C,3511.42265362262,3040.61381110223,0.265997612019356,1.2583719668285684,5441.688447463053
mace,dft/qsd/qsd_data.extxyz:241,qsd,coverage,CF3_10eV_19_59_C_F,0,C,3506.5387373629646,3034.900082285109,0.2659976120193556,1.351081189344298,5450.0814566146055
mace,dft/qsd/qsd_data.extxyz:1151,qsd,coverage,CF_20eV_2_76_C_F,44,F,3505.5337087611997,3032.6775915458315,0.2659976120193572,1.2835795392962583,5433.818945571184
mace,dft/qsd/qsd_data.extxyz:557,qsd,coverage,CF3_30eV_9_36_Si_F,24,F,3502.455394627763,3072.4510792012297,0.16799803600042348,0.16799803600042348,14166.276684657876
mace,dft/qsd/qsd_data.extxyz:637,qsd,coverage,CF_10eV_4_37_C_F,22,F,3492.9527058163944,3053.9697727468338,0.2659976120193556,1.371796809662423,5372.109329565543
mace,dft/qsd/qsd_data.extxyz:443,qsd,coverage,CF3_20eV_4_78_F_C,13,F,3486.1982172770463,3086.6272193809077,0.2659976120193576,1.5805841200328443,5431.333491505344
mace,dft/qsd/qsd_data.extxyz:525,qsd,coverage,CF3_30eV_9_36_F_C,8,F,3467.24866789871,3034.8853527921765,0.26599761201935673,1.2595609813740645,5414.84378165137
mace,dft/qsd/qsd_data.extxyz:1313,qsd,coverage,CF_30eV_18_3_F_C,3,F,3463.6950210461673,2991.454873668282,0.26599761201935673,1.1431451005449835,5416.036215353973
mace,dft/qsd/qsd_data.extxyz:520,qsd,coverage,CF3_30eV_9_36_C_F,24,F,3449.4866267653647,3008.5119057545653,0.265997612019356,1.2583719668285684,5358.084420670951
mace,dft/qsd/qsd_data.extxyz:241,qsd,coverage,CF3_10eV_19_59_C_F,10,F,3378.949321148391,2913.667926781604,0.2659976120193556,1.351081189344298,5377.645718840272
mace,dft/qsd/qsd_data.extxyz:587,qsd,coverage,CF3_30eV_9_9_Si_C,11,F,3359.275584828207,2736.154938390104,0.3760967404804245,0.18700281414994824,4046.0968115027426
mace,dft/qsd/qsd_data.extxyz:587,qsd,coverage,CF3_30eV_9_9_Si_C,6,F,3353.6333302118755,2724.108006028844,0.3760967404804245,0.18700281414994824,4058.1020072093916
mace,dft/qsd/qsd_data.extxyz:579,qsd,coverage,CF3_30eV_9_9_O_F,11,F,3065.3517746978055,2658.374107403257,0.3689970780372108,0.3689970780372108,3685.5119819166057
mace,dft/qsd/qsd_data.extxyz:1330,qsd,coverage,CF_30eV_18_3_O_F,6,F,3051.7741246056935,2643.6296447740224,0.3689970780372108,0.3689970780372108,3681.5972492084675
mace,dft/qsd/qsd_data.extxyz:793,qsd,coverage,CF_10eV_4_5_O_F,7,F,3048.7465639879993,2620.9343642904387,0.3689970780372108,0.3689970780372108,3699.190379054556
mace,dft/qsd/qsd_data.extxyz:586,qsd,coverage,CF3_30eV_9_9_Si_C,6,F,3023.796153447659,2103.518948302871,0.39297717541862315,0.37399696803583704,3576.900533678926
mace,dft/qsd/qsd_data.extxyz:793,qsd,coverage,CF_10eV_4_5_O_F,66,O,3020.8778888436664,2606.8961038301886,0.3689970780372108,0.3689970780372108,3684.179785555412
mace,dft/qsd/qsd_data.extxyz:586,qsd,coverage,CF3_30eV_9_9_Si_C,11,F,3016.0338748930267,2069.5238863191325,0.39297717541862315,0.37399696803583704,3591.6286681488086
mace,dft/qsd/qsd_data.extxyz:494,qsd,coverage,CF3_20eV_4_98_O_F,11,F,3014.087601199147,2607.638288063092,0.3689970780372108,0.3689970780372108,3658.727133308576
mace,dft/qsd/qsd_data.extxyz:1010,qsd,coverage,CF_20eV_2_32_O_F,26,F,3004.3838135073024,2621.7548430471134,0.3690057383022674,0.3690057383022674,3692.5470256604062
mace,dft/qsd/qsd_data.extxyz:494,qsd,coverage,CF3_20eV_4_98_O_F,55,O,2986.998125360575,2607.7499043728017,0.3689970780372108,0.3689970780372108,3710.25760642555
mace,dft/qsd/qsd_data.extxyz:16,qsd,coverage,CF3_10eV_19_10_O_F,3,F,2953.9292673601535,2571.5384045863652,0.3689970780372108,0.3689970780372108,3696.5279656525545
mace,dft/qsd/qsd_data.extxyz:579,qsd,coverage,CF3_30eV_9_9_O_F,12,O,2945.261488156082,2557.0016327185594,0.3689970780372108,0.3689970780372108,3689.734793330255
mace,dft/qsd/qsd_data.extxyz:1330,qsd,coverage,CF_30eV_18_3_O_F,56,O,2936.478894912222,2532.526855514637,0.3689970780372108,0.3689970780372108,3687.7895859299283
mace,dft/qsd/qsd_data.extxyz:1010,qsd,coverage,CF_20eV_2_32_O_F,67,O,2930.418935692533,2548.432088395079,0.3690057383022674,0.3690057383022674,3682.8091734811233
mace,dft/qsd/qsd_data.extxyz:16,qsd,coverage,CF3_10eV_19_10_O_F,45,O,2927.805144389791,2546.6831121449877,0.3689970780372108,0.3689970780372108,3681.5727737091684
mace,dft/qsd/qsd_data.extxyz:892,qsd,coverage,CF_10eV_4_93_O_C,7,C,2565.7353626344016,2238.162460569598,0.28399894806143233,0.2583964142553063,3959.138487212039
mace,dft/qsd/qsd_data.extxyz:286,qsd,coverage,CF3_10eV_19_68_O_C,0,C,2545.6492016587385,2201.7389748715523,0.28399894806143233,0.28399894806143233,3932.75633242396
mace,dft/qsd/qsd_data.extxyz:892,qsd,coverage,CF_10eV_4_93_O_C,74,O,2523.9058630619047,2207.8693551152683,0.28399894806143233,0.2583964142553063,3999.586377979225
mace,dft/qsd/qsd_data.extxyz:454,qsd,coverage,CF3_20eV_4_78_O_C,0,C,2518.677001486311,2173.354579962229,0.28399894806143317,0.28399894806143317,3946.5789849909515
mace,dft/qsd/qsd_data.extxyz:1324,qsd,coverage,CF_30eV_18_3_O_C,2,C,2512.6295720808125,2180.8399682955096,0.28399894806143233,0.28399894806143233,3939.2802990632968
mace,dft/qsd/qsd_data.extxyz:454,qsd,coverage,CF3_20eV_4_78_O_C,53,O,2504.0305213713546,2170.899109627687,0.28399894806143317,0.28399894806143317,3951.898504510178
mace,dft/qsd/qsd_data.extxyz:286,qsd,coverage,CF3_10eV_19_68_O_C,55,O,2500.7998926312316,2154.35728707641,0.28399894806143233,0.28399894806143233,3961.12576211913
mace,dft/qsd/qsd_data.extxyz:536,qsd,coverage,CF3_30eV_9_36_O_C,1,C,2500.096080807426,2188.8023491097474,0.28399894806143233,0.28399894806143233,3933.5909215509264
mace,dft/qsd/qsd_data.extxyz:1324,qsd,coverage,CF_30eV_18_3_O_C,56,O,2488.1720737990713,2158.6249346424465,0.28399894806143233,0.28399894806143233,3956.4841627052847
