backend,track,category,subset,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
mace,FC,chemical_subset,C/F,13824,0.5688232987981275,0.7871056364961426,1.625714143022373,2.51157684832475,7.330985092588278,2.6022954246425014,9.38202547306287
mace,FC,element,C,10704,0.62021555339976,0.835902671352074,1.7045849659185157,2.568359580854559,6.986444875197098,2.698049279991143,9.38202547306287
mace,FC,element,F,3120,0.39250833301098853,0.5897671113121156,1.2065876369440023,2.1037219690335407,7.330985092588278,2.038793283790835,8.050378418999523
mace,FC,nearest_distance_A,"[1,1.5)",12249,0.5772426447233651,0.798604886055154,1.6527686361588143,2.538025178611489,7.330985092588278,2.633293843092263,9.38202547306287
mace,FC,nearest_distance_A,"[1.5,2)",1514,0.5065922201129169,0.6960093920092013,1.428830678875805,2.2848772726641147,4.458140719700074,2.2484596570548434,5.37995795744606
mace,FC,nearest_distance_A,"[2,inf)",61,0.422746001932132,0.5579278840125459,1.219178411672989,1.5599270354824153,1.678488687238374,1.7610720570921312,1.9898176337523967
mace,etch,chemical_subset,C/F,1513,0.18545020387886543,0.31540351619491686,0.6780961099863664,1.243588895512582,3.1869940299504345,1.1845871733163431,3.730725746183088
mace,etch,chemical_subset,Si/O,8088,0.17578885576125264,0.28060534380296925,0.5867450499219194,1.049091023581411,4.1218411907139085,0.9578072239583045,4.13871207531386
mace,etch,element,C,153,0.4785531631059459,0.6711445198729667,1.2985709613558423,2.2343095599419946,3.1869940299504345,1.938100853087977,3.730725746183088
mace,etch,element,F,1360,0.1524761209658189,0.24494259392515816,0.5208463685561144,0.9248567856357839,2.501885221861187,0.8659490230501061,3.1019137655919415
mace,etch,element,O,5260,0.13827588989615694,0.21263864972713914,0.45093625558351275,0.771830669931189,1.9565099551072143,0.7513411097620991,2.1311643214554365
mace,etch,element,Si,2828,0.24556191108317746,0.37562395416322564,0.7889622691987993,1.3717533603767553,4.1218411907139085,1.2711255137841881,4.13871207531386
mace,etch,nearest_distance_A,"[1,1.5)",605,0.3291851075152234,0.48759234588703293,1.0327380659354084,1.6695699387112535,3.1869940299504345,1.6140992321839367,3.730725746183088
mace,etch,nearest_distance_A,"[1.5,2)",8967,0.16703586715647378,0.26742230483950363,0.5591659387409739,0.9903747030519678,4.1218411907139085,0.9143980442763842,4.13871207531386
mace,etch,nearest_distance_A,"[2,inf)",29,0.18616596644566352,0.27838871254593417,0.6398446458558863,0.8867049608061904,0.961879687032434,1.0134662671495804,1.221593772234228
mace,mqa,chemical_subset,C/F,256,0.4443305304919966,0.5756481166164864,1.1526944066210516,1.5928871651811385,2.3445407462064445,1.7332565727093765,3.0405966025890616
mace,mqa,chemical_subset,Si/O,1560,0.16657405900131164,0.26501187517307784,0.575415274170907,0.9845705438737311,1.8229335157822812,1.0150529791280318,2.3305281777781373
mace,mqa,element,C,256,0.4443305304919966,0.5756481166164864,1.1526944066210516,1.5928871651811385,2.3445407462064445,1.7332565727093765,3.0405966025890616
mace,mqa,element,O,528,0.06606179364129784,0.10318946818102114,0.22449750631221196,0.3925896871622301,0.7229867479064271,0.36378193428194383,0.7617192561470284
mace,mqa,element,Si,1032,0.21799893895294659,0.3173574263047094,0.6839961287162956,1.079677904165065,1.8229335157822812,1.162962884378645,2.3305281777781373
mace,mqa,nearest_distance_A,"[1,1.5)",127,0.43820039461231186,0.6013073484257307,1.2532440523631783,1.6923962255809357,2.3445407462064445,2.0468849875750426,3.0405966025890616
mace,mqa,nearest_distance_A,"[1.5,2)",1162,0.19011965748614942,0.3187026886569926,0.7652201958519022,1.1377928320230646,1.8229335157822812,1.2332258576781794,2.3305281777781373
mace,mqa,nearest_distance_A,"[2,inf)",527,0.18412458393420872,0.2403598802028,0.47879990278245343,0.6886504026720753,1.3174578068595566,0.6969187907583144,1.831325230105654
mace,qsd,archived_drag_distance_A,"[0,0.5)",7686,27.85355384816441,269.9193401389657,6.749109179401391,1049.9118428309116,7469.883527089529,18.117222018848313,8589.639868938144
mace,qsd,archived_drag_distance_A,"[0.5,1)",8497,2.6781507364494095,31.0581102383388,1.9105717854467168,38.7271236315043,1341.7923985842751,4.665284970209326,1507.9418959386558
mace,qsd,archived_drag_distance_A,"[1,1.5)",3386,1.503878189214953,23.38693466763543,1.1387029508182225,17.914217882152208,1248.949700886707,2.2529279390295636,1391.6896000571332
mace,qsd,archived_drag_distance_A,"[1.5,2)",3582,1.3030714450488188,19.799268629856982,0.8959507211006523,7.040882577247518,705.6258968427135,1.6418131853275006,781.7369014268461
mace,qsd,archived_drag_distance_A,"[2,inf)",1146,0.3527959281749819,2.1988928551382068,0.746271663146617,2.722217790652203,47.94086785500255,1.261803692054898,68.03819790783393
mace,qsd,chemical_subset,C/F,4616,40.414328969216854,313.2770010699467,34.57816364443104,1428.0999795209632,7469.883527089529,91.38449295027824,8589.639868938144
mace,qsd,chemical_subset,Si/O,19681,3.071498234908416,77.56485838285082,1.0138525358979054,8.47791514938282,5480.967969876352,1.82219327312619,6336.311631137653
mace,qsd,element,C,1411,47.93268082585165,272.00277185677925,69.62037238938768,1419.4367887487247,3633.773742125599,647.5721696482801,4176.768421391017
mace,qsd,element,F,3205,37.104377496607896,329.81445796290785,25.398134071676033,1432.0427964310563,7469.883527089529,61.346987851890965,8589.639868938144
mace,qsd,element,O,12802,3.0207626613172756,85.78027493372129,0.7329694253057366,5.120121597166587,5480.967969876352,1.2925752383434863,6336.311631137653
mace,qsd,element,Si,6879,3.1659184723141096,59.32036866442724,1.4912138179621057,17.04250185987489,3107.116464996394,2.4946588446413274,3546.612216929725
mace,qsd,nearest_distance_A,"[0,0.5)",176,1190.5120890829862,1788.8282484041497,3578.4271122583154,6855.980988731325,7469.883527089529,6325.901899052204,8589.639868938144
mace,qsd,nearest_distance_A,"[0.5,1)",288,84.51846944994162,167.2879544969189,379.9853062253127,774.3310999309263,820.9489727965081,708.4013078445303,953.688765047381
mace,qsd,nearest_distance_A,"[1,1.5)",2053,2.6876152920008636,8.261385954150798,14.883776096403713,41.28751935366256,102.35811734394721,29.160841432557714,117.39524792481659
mace,qsd,nearest_distance_A,"[1.5,2)",21780,0.34956741085725457,1.503142372265244,0.9512732975024986,4.126245088627983,66.05512498912151,1.719353105016013,77.7515883267119
nequip,FC,chemical_subset,C/F,13824,0.8368436139502005,1.115140905921549,2.3288230180137144,3.3283433034082615,6.725583539979013,3.5231480874454006,7.060715285666517
nequip,FC,element,C,10704,0.920454872901902,1.2030497657985941,2.467477766364833,3.4511660725086353,6.725583539979013,3.6871219756098026,7.060715285666517
nequip,FC,element,F,3120,0.5499926793928245,0.7378241644061887,1.5177957455209636,2.2881436351959,4.113592751155014,2.3695654473445633,5.386492956163936
nequip,FC,nearest_distance_A,"[1,1.5)",12249,0.8514308617517095,1.1352485976403617,2.371976760802961,3.3839267341937584,6.725583539979013,3.5909195275362213,7.060715285666517
