step,time_fs,potential_eV,kinetic_eV,total_eV,carbon_z_A,carbon_vz_A_fs,carbon_min_original_substrate_distance_A,top_clearance_A
40,10.0,-1141.18861015141,34.09705051996889,-1107.0915596314412,25.663149841412697,-0.10776479001870856,4.712597540191146,74.33598151923553
41,10.25,-1141.2335387319326,34.14199338293099,-1107.0915453490015,25.636208387642938,-0.10776685792898681,4.701543848401376,74.36288252859322
42,10.5,-1141.2716769203544,34.180143141710865,-1107.0915337786435,25.609266412448203,-0.10776898010234802,4.6906002464930845,74.38978395187158
43,10.75,-1141.303239054978,34.211718139740725,-1107.0915209152372,25.582323897591763,-0.10777118274778266,4.679766579894467,74.41668578679038
44,11.0,-1141.3284800201654,34.23697830110898,-1107.0915017190564,25.555380821074312,-0.10777347247471716,4.669042722105762,74.44358802247501
45,11.25,-1141.3477145582438,34.25622935044868,-1107.0914852077951,25.528437161354404,-0.10777584326466033,4.658428580360855,74.47049064024088
46,11.5,-1141.3612844124436,34.26982192907106,-1107.0914624833727,25.50149289944198,-0.10777828660547091,4.647924091917988,74.49739361701131
47,11.75,-1141.3695815503597,34.27814667661688,-1107.0914348737429,25.474548018051667,-0.10778079962083723,4.637529223932558,74.52429692771952
48,12.0,-1141.3730213493109,34.28162848654347,-1107.0913928627674,25.44760249963156,-0.10778338783847773,4.6272439731465145,74.55120054658673
49,12.25,-1141.3721000254154,34.280720656817934,-1107.0913793685975,25.420656324132427,-0.10778606431329642,4.617068369554128,74.57810444624148
50,12.5,-1141.367229476571,34.27589909887451,-1107.0913303776965,25.393709467474913,-0.10778884619128536,4.607002474583094,74.60500859629349
51,12.75,-1141.3589773252606,34.267660009189655,-1107.091317316071,25.366761901036785,-0.10779175210873027,4.5970463881255865,74.63190600652531
52,13.0,-1141.3477962613106,34.25651392716347,-1107.091282334147,25.339813591420548,-0.10779480126019461,4.587200251197731,74.65879896204007
53,13.25,-1141.3342204391956,34.24297996677837,-1107.0912404724172,25.312864500406686,-0.10779801526417056,4.577464252415725,74.685690855303
54,13.5,-1141.3187978714705,34.22758530307839,-1107.0912125683922,25.28591458378846,-0.10780141898685988,4.567838630207639,74.71258167154937
55,13.75,-1141.3020396456122,34.21085893573,-1107.0911807098823,25.258963790913256,-0.10780503548108786,4.55832367916315,74.73947140685924
56,14.0,-1141.2844659462571,34.19332228035461,-1107.0911436659026,25.23201206604792,-0.10780888212168162,4.539997542225321,74.76636006554696
57,14.25,-1141.2666026055813,34.17548571821818,-1107.0911168873631,25.205059349852416,-0.1078129676744553,4.517156277575221,74.79324765604287
58,14.5,-1141.2489321157336,34.15784456484113,-1107.0910875508926,25.17810558221069,-0.1078172884367197,4.494417100729965,74.82013419142362
59,14.75,-1141.2319372296333,34.14087338805231,-1107.091063841581,25.151150705634056,-0.10782182308535523,4.471781756288666,74.84701968884863
60,15.0,-1141.2160590142012,34.12502137204841,-1107.0910376421527,25.124194670668015,-0.1078265309059326,4.449251890263922,74.87390416829433
61,15.25,-1141.2017332464457,34.1107073999017,-1107.091025846544,25.09723744018109,-0.10783136489638924,4.426829051398988,74.90078765064207
62,15.5,-1141.1893092915416,34.09831786045215,-1107.0909914310894,25.07027898821982,-0.10783628486204976,4.404514688518717,74.9276701550141
63,15.75,-1141.1791827753186,34.088209914640345,-1107.0909728606782,25.043319297750063,-0.10784126309209535,4.382310150447211,74.95455169609016
64,16.0,-1141.1716621667147,34.080706386634645,-1107.09095578008,25.01635835667377,-0.10784628309779193,4.360216680519069,74.98143228288849
65,16.25,-1141.167030788958,34.07609136177571,-1107.0909394271823,24.989396156201167,-0.1078513328750428,4.338235413675281,75.008311917366
66,16.5,-1141.1655299812555,34.07461057412946,-1107.090919407126,24.96243269023625,-0.10785639361090374,4.316367377474699,75.03519059214773
67,16.75,-1141.1673811972141,34.07646525364588,-1107.0909159435682,24.935467959395716,-0.10786143435344853,4.294613492051224,75.06206829419718
68,17.0,-1141.1727276742458,34.08181138448236,-1107.0909162897635,24.908501973059526,-0.10786643679541466,4.272974568590362,75.08894500652383
69,17.25,-1141.1816725060344,34.090767215965954,-1107.0909052900683,24.88153474099801,-0.10787142084845343,4.251451302956868,75.11582070629478
70,17.5,-1141.1943063139915,34.10341395346844,-1107.0908923605232,24.8545662626353,-0.10787644418089797,4.2300442680996415,75.14269537087605
71,17.75,-1141.2106807157397,34.1197874120254,-1107.0908933037144,24.827596518907562,-0.10788158978685115,4.208753908457104,75.16956897381729
72,18.0,-1141.2307793870568,34.13987385141468,-1107.0909055356422,24.800625467741874,-0.10788694840458576,4.187580537733368,75.19644148298639
73,18.25,-1141.254520982504,34.16360830434835,-1107.0909126781555,24.77365304470527,-0.10789258960311993,4.166524338290023,75.2233128640606
74,18.5,-1141.2818122506142,34.190878458638856,-1107.0909337919752,24.746679172940315,-0.10789854851812143,4.145585371524053,75.25018308811086
75,18.75,-1141.3124655932188,34.22152839449485,-1107.0909371987239,24.71970377044621,-0.10790483645547135,4.124763583432883,75.27705213701554
76,19.0,-1141.3463212922215,34.25535933668979,-1107.0909619555318,24.69272675471258,-0.10791145124153227,4.104058811029729,75.30392000193729
77,19.25,-1141.383107058704,34.29213051091371,-1107.0909765477902,24.665748044825442,-0.1079183857502998,4.083470784027127,75.33078668045087
78,19.5,-1141.4225453138351,34.33156303824604,-1107.090982275589,24.63876756183743,-0.10792562788561977,4.062999124857451,75.357652174572
79,19.75,-1141.4643637314439,34.373347532142546,-1107.0910161993013,24.61178523088263,-0.10793315620124284,4.042643351507743,75.38451648991325
80,20.0,-1141.508181758225,34.41715025935129,-1107.0910314988737,24.58480098373681,-0.10794095276226681,4.022402880273134,75.41137963390833
81,20.25,-1141.5536715090275,34.46261548857901,-1107.0910560204484,24.557814754501496,-0.10794902007384934,4.00227702425149,75.43824161349352
82,20.5,-1141.6004435047507,34.50936736238283,-1107.091076142368,24.530826473699886,-0.10795738057265492,3.982264990912097,75.46510243314715
83,20.75,-1141.6481061652303,34.55700715679721,-1107.091099008433,24.503836064215168,-0.10796606948978506,3.9623658787933986,75.49196209318664
84,21.0,-1141.6962543353438,34.6051154950543,-1107.0911388402894,24.476843438954994,-0.10797512874747,3.942578678730336,75.51882058902132
85,21.25,-1141.7444187030196,34.653256515387454,-1107.091162187632,24.449848499841433,-0.10798459801325919,3.922902274335315,75.545677912511
86,21.5,-1141.7921576723456,34.70098061823206,-1107.0911770541136,24.422851139948364,-0.10799450341160638,3.903335448181367,75.57253405309882
87,21.75,-1141.8390529677272,34.74784739872649,-1107.0912055690007,24.39585124813563,-0.10800484873537754,3.8838768892600144,75.59938899882926
88,22.0,-1141.8846849426627,34.793444148555906,-1107.0912407941069,24.368848715580675,-0.10801561170379005,3.864525216907923,75.62624273772998
89,22.25,-1141.9286409541965,34.83738526640148,-1107.091255687795,24.341843442283736,-0.10802675135689349,3.8452790189704746,75.65309525645088
90,22.5,-1141.9705882370472,34.87931156362842,-1107.0912766734189,24.314835339902228,-0.1080382202386405,3.8261368920650365,75.679946547339
91,22.75,-1142.0101900026202,34.91889256293972,-1107.0912974396806,24.287824332164416,-0.10804997259097729,3.8070974704349836,75.7067966190686
92,23.0,-1142.0471228063107,34.95581586511402,-1107.0913069411965,24.26081035360674,-0.10806196003419218,3.7881594110434174,75.7336455088083
93,23.25,-1142.0810925737023,34.98975124650583,-1107.0913413271965,24.23379335214732,-0.10807390834974216,3.7693212817673305,75.76049328653988
94,23.5,-1142.1117160916328,35.02036504838095,-1107.091351043252,24.206773399431867,-0.10808541785739896,3.7491892671978126,75.7873400415526
95,23.75,-1142.1387912854552,35.04744088031569,-1107.0913504051396,24.17975064321862,-0.10809686441784894,3.723007004540867,75.81418586014709
96,24.0,-1142.1622668877244,35.07091360096565,-1107.0913532867587,24.152724967222944,-0.10810951551473055,3.696818619518365,75.84103080611254
97,24.25,-1142.1820911541581,35.09073779636008,-1107.091353357798,24.125695885461255,-0.10812451105407568,3.6706237127844155,75.86787492973187
98,24.5,-1142.198172211647,35.10680013903102,-1107.091372072616,24.098662711695905,-0.10814221951188292,3.6444216708602113,75.89471825151888
99,24.75,-1142.2103163674474,35.11892916510327,-1107.091387202344,24.071624775705313,-0.1081622747680236,3.61821197835112,75.92156076902882
100,25.0,-1142.2183427289128,35.12695335416671,-1107.091389374746,24.04458157431189,-0.10818398552669484,3.5919944617967037,75.94840244811522
101,25.25,-1142.2221477776766,35.130759881571166,-1107.0913878961055,24.017532782941966,-0.10820674347198998,3.565769299925494,75.97524323419543
102,25.5,-1142.2217004522681,35.13030262968954,-1107.0913978225785,23.990478202575897,-0.1082300652633299,3.5395369569843638,76.00208305403562
103,25.75,-1142.2169902026653,35.12559749991085,-1107.0913927027545,23.963417750310303,-0.10825351803976963,3.51329813601987,76.0289218343822
104,26.0,-1142.208103440702,35.11670888691573,-1107.0913945537861,23.936351443556013,-0.10827670674523071,3.487053716998083,76.05575951318835
105,26.25,-1142.1951248124242,35.10373804590226,-1107.091386766522,23.909279396937688,-0.10829925579844302,3.4608047497853014,76.08259603566687
106,26.5,-1142.1781791374087,35.08682300199678,-1107.0913561354118,23.882201815656792,-0.1083208030750934,3.4345524464816135,76.10943135593419
107,26.75,-1142.157483883202,35.06613606623296,-1107.0913478169691,23.85511899540014,-0.10834101524814381,3.408298185580931,76.13626543674977
108,27.0,-1142.1332275867462,35.04188480419418,-1107.0913427825521,23.82803130803272,-0.10835962526218787,3.382043498741692,76.16309824617608
109,27.25,-1142.105634443462,35.01430741303264,-1107.0913270304293,23.800939182769046,-0.10837642468170142,3.355790056770293,76.18992975621947
110,27.5,-1142.0749588683248,34.983668314964,-1107.0912905533607,23.77384309569187,-0.10839124567648305,3.3295396635162637,76.21675993885628
111,27.75,-1142.0415370240808,34.950255114611934,-1107.0912819094688,23.746743559930803,-0.10840395835795451,3.3032942480306744,76.24358876590898
112,28.0,-1142.0056419596076,34.91437183939894,-1107.0912701202087,23.719641116512893,-0.10841446504460323,3.2770558518274857,76.2704162089592
113,28.25,-1141.9675770774484,34.8763348205428,-1107.0912422569056,23.6925363274085,-0.10842269057184456,3.25082661759661,76.29724223409433
114,28.5,-1141.927690885961,34.83646358764316,-1107.0912272983178,23.66542977122697,-0.10842857813476163,3.2246087784090847,76.30904274715081
115,28.75,-1141.8862788528204,34.79507604196637,-1107.091202810854,23.63832203834112,-0.10843210151129065,3.198404642966173,76.30981276940796
116,29.0,-1141.8436788395047,34.75249104252853,-1107.091187796976,23.611213720471326,-0.10843323281098145,3.1722165803146263,76.3105508389738
117,29.25,-1141.800195582211,34.70903157295115,-1107.09116400926,23.58410542193563,-0.10843186699261362,3.1460470234776388,76.31125706990352
118,29.5,-1141.7561601102352,34.665016295676544,-1107.0911438145586,23.55699778697502,-0.10842780485934525,3.1198984835975847,76.3119317099237
119,29.75,-1141.7118835672736,34.620752474446,-1107.0911310928277,23.529891519505956,-0.10842090304923674,3.0937735791446883,76.3125751341174
120,30.0,-1141.6676535829902,34.5765674595535,-1107.0910861234368,23.502787335450403,-0.10841139000156347,3.0676750043839527,76.31318784705115
121,30.25,-1141.623922072351,34.53285495563165,-1107.0910671167194,23.475685824505174,-0.10840023180338693,3.0416053813663115,76.31377047295996
122,30.5,-1141.5810865685344,34.49002958238498,-1107.0910569861494,23.44858721954871,-0.10838884206139805,3.0155670427397077,76.31432376339356
123,30.75,-1141.5394309982657,34.44837975925806,-1107.0910512390076,23.421491403474477,-0.10837791280767134,2.989562073273908,76.31484858279086
124,31.0,-1141.4990813434124,34.40802511472264,-1107.0910562286897,23.394398263144875,-0.10836713377032198,2.9635926342220045,76.3153459087339
125,31.25,-1141.4600715488195,34.369022818677756,-1107.091048730142,23.367307836589315,-0.10835604280182543,2.937661114108003,76.3158168249867
126,31.5,-1141.4224641881883,34.331425361611615,-1107.0910388265768,23.340220241743964,-0.10834436254130178,2.911770055275691,76.31626251430096
127,31.75,-1141.3863815814257,34.29535266667042,-1107.0910289147553,23.313135655318664,-0.10833219801939288,2.8859221136608326,76.3166842541658
128,32.0,-1141.3519700542092,34.26094936955272,-1107.0910206846565,23.28605414273427,-0.1083197369867673,2.860119895929594,76.31708340930209
129,32.25,-1141.319316715002,34.2282928764214,-1107.0910238385807,23.25897578682528,-0.1083068733297732,2.8343660960030337,76.31746142649588
130,32.5,-1141.288432881236,34.19741120499365,-1107.0910216762425,23.231900706069382,-0.10829342633195556,2.8086635006762855,76.31781982790547
131,32.75,-1141.2593089267612,34.168282801513335,-1107.0910261252477,23.204829073659305,-0.1082791813601583,2.783015006585149,76.31816019781479
132,33.0,-1141.2318844348192,34.14084721829536,-1107.0910372165238,23.177761115389302,-0.10826391678576991,2.7574236263434653,76.31848417939142
133,33.25,-1141.2060476988554,34.115000653600895,-1107.0910470452545,23.15069711526642,-0.10824732162685306,2.7318924951015915,76.31879346919642
134,33.5,-1141.1816722750664,34.090603409880536,-1107.091068865186,23.123637454575874,-0.10822900418705714,2.7064249126022952,76.31908980377892
135,33.75,-1141.1585630849004,34.06749415977788,-1107.0910689251225,23.09658261317289,-0.10820861709063573,2.68102434845851,76.31937495555017
136,34.0,-1141.1366092786193,34.04551786005573,-1107.0910914185636,23.069533146030558,-0.10818609863421484,2.655694429000051,76.31965072593687
137,34.25,-1141.1156275346875,34.024533959849585,-1107.091093574838,23.042489563855785,-0.1081617151965832,2.6304388210679237,76.31991893547149
138,34.5,-1141.0954904332757,34.004378272094286,-1107.0911121611814,23.015452288432268,-0.10813570394235955,2.6052612023277653,76.32018141736665
139,34.75,-1141.0759424194694,33.984822679746,-1107.0911197397234,22.988421711884605,-0.10810797074926555,2.5801653356901286,76.3204400116231
140,35.0,-1141.0567179322243,33.96555618868862,-1107.0911617435356,22.961398303057635,-0.10807795800919409,2.555155178121467,76.32069655476208
141,35.25,-1141.0373932942748,33.94620796690279,-1107.091185327372,22.934382732880007,-0.1080449250021035,2.5302350030543543,76.32095287694499
142,35.5,-1141.0176015421748,33.926392773020495,-1107.0912087691543,22.907375840556583,-0.10800827332683943,2.5054093618742064,76.321210790657
143,35.75,-1140.9969887062907,33.90575829905124,-1107.0912304072394,22.880378596216588,-0.10796753779041143,2.4806830465328877,76.32147208839845
144,36.0,-1140.9752580597997,33.884013834239,-1107.0912442255608,22.85339207166138,-0.10792250407597476,2.4560610685135202,76.32173853340974
145,36.25,-1140.9521713033319,33.86089906746155,-1107.0912722358703,22.8264173441786,-0.10787317534663379,2.4315485691163037,76.32201185360107
146,36.5,-1140.927408695221,33.836127372922185,-1107.0912813222988,22.799455483988062,-0.10781952031234258,2.4071508060586737,76.32229373764999
147,36.75,-1140.9006918296218,33.80937496257337,-1107.0913168670484,22.77250758402243,-0.10776146358603159,2.382873171316322,76.32258582936673
148,37.0,-1140.8716324791312,33.780290565109624,-1107.0913419140215,22.745574752195047,-0.10769887213541308,2.358721185857297,76.32288972038049
149,37.25,-1140.8398587703705,33.74848488891925,-1107.0913738814513,22.718658147954724,-0.10763141523111076,2.3347005292685044,76.32320694833948
150,37.5,-1140.8049499094486,33.71355419032601,-1107.0913957191226,22.69175904457949,-0.1075586176800005,2.3108171009066885,76.32353899104938
151,37.75,-1140.766557186842,33.67513126753232,-1107.0914259193096,22.664878839114724,-0.10748013789719978,2.2870770291560065,76.32388726280774
152,38.0,-1140.7243409529328,33.63289667019003,-1107.0914442827427,22.638018975630892,-0.10739592133552701,2.2634866078638596,76.3242531113287
153,38.25,-1140.6780536100268,33.58658550811879,-1107.091468101908,22.611180878446962,-0.1073062131099741,2.2400522350070786,76.32463781407823
154,38.5,-1140.6274453178048,33.53596815343526,-1107.0914771643695,22.584365869075906,-0.10721136070992983,2.2167803455519706,76.32504257242657
155,38.75,-1140.5723080560565,33.48079762901171,-1107.0915104270448,22.557575198091996,-0.1071113962619729,2.193677460488666,76.32546851224485
156,39.0,-1140.5123195275664,33.42079305664168,-1107.0915264709247,22.53081017094492,-0.10700590641043273,2.1707503162710537,76.32591668041093
157,39.25,-1140.4471952915192,33.355646064496675,-1107.0915492270226,22.50407224488678,-0.10689416324017746,2.1480059618355543,76.32638804244998
158,39.5,-1140.3766153156757,33.28501968819752,-1107.0915956274782,22.477363089324832,-0.10677525471302297,2.1254518430064233,76.32688348017874
159,39.75,-1140.300188794732,33.208586098365906,-1107.0916026963662,22.450684617530268,-0.10664815930558351,2.1030958602290695,76.32740378806626
160,40.0,-1140.2177202701569,33.1260886523944,-1107.0916316177625,22.42403900967204,-0.1065118388662439,2.0809464066706442,76.32794967596008
161,40.25,-1140.1289764940739,33.03732257482662,-1107.0916539192472,22.397428698097144,-0.1063653058096678,2.0590123388846457,76.32852176370146
162,40.5,-1140.0337821543217,32.94209333577457,-1107.091688818547,22.370856356767206,-0.10620758852556596,2.0373029651252845,76.32912058037233
163,40.75,-1139.9319340735674,32.84023454836367,-1107.0916995252037,22.344324903834362,-0.106037829773463,2.015828062562333,76.32974656342105
164,41.0,-1139.8233525529504,32.731658636566,-1107.0916939163844,22.317837441880474,-0.10585554476789377,1.994597836837842,76.33040005757279
165,41.25,-1139.7080733403563,32.616371543889734,-1107.0917017964666,22.291397131450417,-0.10566060004377484,1.9736227992464492,76.33108131194388
166,41.5,-1139.5861276388168,32.49442659881807,-1107.0917010399987,22.265007141858586,-0.10545276265811053,1.9529137121308926,76.33179048285106
167,41.75,-1139.4576163813472,32.3659006477712,-1107.091715733576,22.23867075012136,-0.1052314877559916,1.9324816307286898,76.33252762813473
168,42.0,-1139.3226121217012,32.23089722712872,-1107.0917148945725,22.21239139798059,-0.1049959749037421,1.9123379171429624,76.33329271369404
169,42.25,-1139.1812618374825,32.089550715982504,-1107.0917111214999,22.18617276266949,-0.10474526176094322,1.8924942479178717,76.33408560511047
170,42.5,-1139.033757418394,31.942063069400824,-1107.0916943489933,22.160018767100116,-0.10447848668093368,1.8729625455997048,76.33490606972103
171,42.75,-1138.880433447659,31.788766152597503,-1107.0916672950616,22.133933519329023,-0.10419521632716477,1.85375482376879,76.33575377737174
172,43.0,-1138.7217832133174,31.630135199592587,-1107.0916480137248,22.107921158936534,-0.103895497854461,1.8348829377720297,76.33662829631528
173,43.25,-1138.5583535060287,31.46674457566003,-1107.0916089303687,22.081985770401793,-0.10357960183892759,1.8163584473331185,76.3375290988053
174,43.5,-1138.3908069878817,31.299239935481936,-1107.0915670523998,22.05613135801707,-0.1032479316849617,1.7981925362435396,76.33845555650089
175,43.75,-1138.2198585942388,31.128331948699085,-1107.0915266455397,22.030361804559313,-0.10290099559641393,1.7803959138763719,76.33940693905463
176,44.0,-1138.0462668389082,30.954793643863784,-1107.0914731950445,22.004680860218862,-0.1025392658474589,1.7629787292919659,76.34038241577937
177,44.25,-1137.8708696365356,30.77945119696999,-1107.0914184395656,21.979092171635582,-0.10216307159868503,1.745950551629472,76.34138105785806
178,44.5,-1137.6945407912135,30.603176976921567,-1107.091363814292,21.95359932441952,-0.1017725734334196,1.7293203766681349,76.34240183057744
179,44.75,-1137.5182243660092,30.4268949746898,-1107.0913293913195,21.92820588491887,-0.10136779116160684,1.7130966512048065,76.34344360202113
180,45.0,-1137.3428366407752,30.25157955102943,-1107.0912570897458,21.902915428838718,-0.10094867638230876,1.697287239833424,76.34450513779503
181,45.25,-1137.1694229468703,30.078231635769363,-1107.091191311101,21.877731546727716,-0.10051506794601363,1.6818993616493014,76.34558510429443
182,45.5,-1136.9989988207817,29.907858790577606,-1107.091140030204,21.85265789486571,-0.10006662364186476,1.6669396268255392,76.3466820681897
183,45.75,-1136.8325584605336,29.741482957611346,-1107.0910755029222,21.827698234906784,-0.09960288590748194,1.6524140847222455,76.3477944994248
184,46.0,-1136.6711656302214,29.580153562233335,-1107.091012067988,21.80285645191197,-0.09912339145779465,1.6383282050880537,76.34892077270109
185,46.25,-1136.515920162201,29.424964909503633,-1107.0909552526973,21.778136539177886,-0.0986277401629477,1.6246867988361136,76.3500591675081
186,46.5,-1136.3679094165564,29.277015499910583,-1107.0908939166459,21.753542581830498,-0.09811552735654103,1.611493940339565,76.35120787533003
187,46.75,-1136.2281379923224,29.13730569611785,-1107.0908322962046,21.729078775499616,-0.09758624351342587,1.5987529558358025,76.35236500250605
188,47.0,-1136.0974692180753,29.006669810732326,-1107.090799407343,21.704749460073785,-0.0970392269411298,1.5864664612034336,76.35352857176032
189,47.25,-1135.9765248522162,28.885763225700604,-1107.0907616265156,21.680559162029052,-0.09647374219916809,1.5746364465004015,76.35469652973909
190,47.5,-1135.8658435046673,28.775093558458362,-1107.090749946209,21.656512588974202,-0.09588915203675906,1.5632642651543707,76.35586675285899
191,47.75,-1135.7657469063997,28.67500694028191,-1107.0907399661178,21.63261458601067,-0.09528490652285278,1.5523505618496074,76.3570370460613
192,48.0,-1135.676396034658,28.58562944558834,-1107.0907665890695,21.608870135712774,-0.09466053446497318,1.5418952803898465,76.35820515236603
193,48.25,-1135.5976674482226,28.506874587744097,-1107.0907928604786,21.585284318778186,-0.0940156561036629,1.5318975690923085,76.35936875400243
194,48.5,-1135.5292987003922,28.438478217930175,-1107.090820482462,21.56186230766094,-0.09334988488795262,1.5223557778550374,76.3605254818182
195,48.75,-1135.4708774462342,28.37999977954269,-1107.0908776666915,21.53860937633421,-0.09266277252260839,1.513267483645419,76.3616729284922
196,49.0,-1135.4217365160584,28.33082455010106,-1107.0909119659573,21.515530921399638,-0.09195384995846688,1.5046295640280936,76.36280865100625
197,49.25,-1135.3811570852995,28.290153086827395,-1107.0910039984722,21.49263245135498,-0.09122275513215425,1.4964382036090451,76.36393017400394
198,49.5,-1135.3480655923486,28.25699307792511,-1107.0910725144236,21.469919543833562,-0.09046924199787162,1.4886888444809407,76.36503499229508
199,49.75,-1135.3213426694274,28.230186082792585,-1107.0911565866347,21.447397830356042,-0.08969311788343587,1.4813762141830145,76.36612056838176
200,50.0,-1135.2997045442462,28.208449304799196,-1107.091255239447,21.425072984891845,-0.08889429520867888,1.4744943441001204,76.3671843362908
201,50.25,-1135.2817719951272,28.19042235268052,-1107.0913496424466,21.4029506827517,-0.08807284779068056,1.4680365872210845,76.36822371268121
202,50.5,-1135.2661323100328,28.174680393590506,-1107.0914519164423,21.381036560996506,-0.08722881637739259,1.4619956421929319,76.36923610293329
