checkpoint,track,natoms,attempted,completed,failed,force_component_mae_eV_A,force_component_rmse_eV_A,raw_energy_mae_eV_atom,raw_energy_mean_signed_error_eV_atom,median_singlepoint_seconds
MACE-MP-0b3 medium,Si_crystal,64,4,4,0,0.04526284369281158,0.0797663113020001,0.03855935180574699,0.03855935180574699,1.1355037499997707
MACE-MP-0b3 medium,Si_surface,24/36,2,2,0,0.1421405520588886,0.19668342842565206,0.021423231561055488,0.021423231561055488,0.46023580000110087
MACE-MP-0b3 medium,SiO2_CFx_etch_snapshots,150,6,6,0,0.18192176216963554,0.2964316401594766,0.02273249535432544,0.004639466359579326,2.497446850000415
NequIP-OAM-S 0.1,Si_crystal,64,4,4,0,0.07352318753197153,0.13222347578325505,0.06588296137970939,0.06588296137970939,0.013317849996383302
NequIP-OAM-S 0.1,Si_surface,24/36,2,2,0,0.1733737259645037,0.2524511279005874,0.06733593205381419,-0.06733593205381419,0.009969400001864415
NequIP-OAM-S 0.1,SiO2_CFx_etch_snapshots,150,6,6,0,0.22365314764214653,0.3365601310121172,0.027847135109129798,-0.026705412718722527,0.025072749998798827
DPA-3.3-1M / OMat24,Si_crystal,64,4,4,0,0.022263132089453495,0.0391556526038556,0.006290422512223781,-0.0035444397255930404,0.9786783999988984
DPA-3.3-1M / OMat24,Si_surface,24/36,2,2,0,0.10715114237303208,0.1336252318884632,0.005522045935141249,0.005522045935141249,0.09854195000298205
DPA-3.3-1M / OMat24,SiO2_CFx_etch_snapshots,150,6,6,0,0.11909316254563751,0.19142611068352552,0.008460059443058677,0.0040445377550478645,0.735945599997649
